# Team 0: AllInAgent, Team 1: PlayerAgent
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,RAISE,98,"['9d', '2s']","['Ad', '9s']","['4h', '7s']",,,1,1
0,Pre-Flop,1,0,0,CALL,0,"['9d', '2s']","['Ad', '9s']","['4h', '7s']",,,2,2
0,Flop,0,0,0,CHECK,0,"['9d', '2s']","['Ad', '9s']","['4h', '7s', 'As']",,,100,100
0,Flop,1,0,0,CHECK,0,"['9d', '2s']","['Ad', '9s']","['4h', '7s', 'As']",,,100,100
0,Turn,0,0,0,CHECK,0,"['9d', '2s']","['Ad', '9s']","['4h', '7s', 'As', '8h']",,,100,100
0,Turn,1,0,0,CHECK,0,"['9d', '2s']","['Ad', '9s']","['4h', '7s', 'As', '8h']",,,100,100
0,River,0,0,0,CHECK,0,"['9d', '2s']","['Ad', '9s']","['4h', '7s', 'As', '8h', '3d']",,,100,100
0,River,1,0,0,CHECK,0,"['9d', '2s']","['Ad', '9s']","['4h', '7s', 'As', '8h', '3d']",,,100,100
1,Pre-Flop,1,-100,100,CALL,0,"['8s', 'As']","['6s', '9h']","['Ah', '8h']",,,1,1
1,Pre-Flop,0,-100,100,RAISE,98,"['8s', 'As']","['6s', '9h']","['Ah', '8h']",,,2,2
1,Pre-Flop,1,-100,100,CALL,0,"['8s', 'As']","['6s', '9h']","['Ah', '8h']",,,2,2
1,Flop,1,-100,100,CHECK,0,"['8s', 'As']","['6s', '9h']","['Ah', '8h', '9s']",,,100,100
1,Flop,0,-100,100,CHECK,0,"['8s', 'As']","['6s', '9h']","['Ah', '8h', '9s']",,,100,100
1,Turn,1,-100,100,CHECK,0,"['8s', 'As']","['6s', '9h']","['Ah', '8h', '9s', '5h']",,,100,100
1,Turn,0,-100,100,CHECK,0,"['8s', 'As']","['6s', '9h']","['Ah', '8h', '9s', '5h']",,,100,100
1,River,1,-100,100,CHECK,0,"['8s', 'As']","['6s', '9h']","['Ah', '8h', '9s', '5h', 'Ad']",,,100,100
1,River,0,-100,100,CHECK,0,"['8s', 'As']","['6s', '9h']","['Ah', '8h', '9s', '5h', 'Ad']",,,100,100
